1,"Participant 32","Consistant","Target 1 Raw Latency",1732,2121,1514,1732,3620,1638,2512,2402,968,1591,873,1280,1497,1435,1826,1107,983,1388,1388,1888,1528,1420,3526,1108,827,1872,1310,1856,1155,1732,1107,1513
1,"Participant 32","Consistant","Target 2 Raw Latency",1482,1748,1357,1794,2309,3463,1606,1794,858,1638,1389,1514,749,2278,1108,1326,811,1123,1794,2371,1201,1029,1435,1139,2481,1560,1388,1388,1419,1139,1263,1014
1,"Participant 32","Consistant","Target 3 Raw Latency",1045,3105,1342,1389,1233,1607,1373,2137,1170,1685,1420,1685,1123,1077,1186,2699,1404,1482,2683,1451,2886,2980,1404,2060,1841,1264,1732,1514,1092,1544,1794,1263
1,"Participant 32","Consistant","Target 4 Raw Latency",1420,1263,1419,1388,1623,2621,2527,1451,1435,1513,2122,1357,2278,1654,1419,1716,1029,3900,1591,1310,968,1186,1420,1263,1014,1170,2979,1123,1919,1342,1263,1124
1,"Participant 32","Consistant","Target 5 Raw Latency",1295,1529,1264,1357,1358,1482,1420,1061,1279,2293,1201,2637,1794,3292,2371,1544,1388,4462,1310,1591,1560,1466,2730,3198,1327,2043,1061,1513,1264,2012,1201,2730
1,"Participant 32","Consistant","Target 6 Raw Latency",1622,2543,2496,2294,1388,1030,1575,936,1014,1482,2325,1841,1342,1950,1872,1825,1778,1107,1419,1123,1513,2028,1311,1560,1154,1201,1669,1638,1466,1077,3931,1965
1,"Participant 32","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 32","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 32","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 32","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 32","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 32","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 32","Consistant","Target 1 Accuracy","Correct","Correct","Correct",,,"Wrong","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct"
1,"Participant 32","Consistant","Target 2 Accuracy",,"Correct",,"Correct","Correct","Wrong",,,"Correct",,"Correct","Correct","Correct","Correct",,,"Wrong","Correct","Correct",,"Wrong","Correct","Correct",,,"Correct",,"Correct","Correct","Correct",,
1,"Participant 32","Consistant","Target 3 Accuracy","Correct",,"Correct","Correct","Correct","Correct",,,,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,
1,"Participant 32","Consistant","Target 4 Accuracy","Correct","Correct","Correct",,,,,"Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct",,,"Correct","Correct","Correct",,"Wrong","Correct","Correct","Correct","Correct",,,,,"Correct"
1,"Participant 32","Consistant","Target 5 Accuracy","Correct",,"Correct","Correct","Wrong",,"Correct",,"Correct","Correct","Correct",,"Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct",
1,"Participant 32","Consistant","Target 6 Accuracy","Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,"Wrong","Correct"
1,"Participant 32","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 32","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 32","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 32","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 32","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 32","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
