1,"Participant 110","Inconsistant","Target 1 Raw Latency",1264,1123,1716,1216,1295,1326,2293,1342,1092,1607,1107,2184,1326,1280,1435,2215,1279,1747,1310,2199,1529,1357,1341,1436,998,1202,1076,1685,1373,1357,1139,1373
1,"Participant 110","Inconsistant","Target 2 Raw Latency",2278,951,1170,1342,1092,1560,1310,1201,1186,1232,1311,1280,1092,1201,1342,2434,1560,1388,1513,1810,1342,1560,1357,2543,1513,1435,1124,1185,1498,1108,1623,1763
1,"Participant 110","Inconsistant","Target 3 Raw Latency",1295,1170,1544,1529,2075,1279,1576,1451,1030,2730,1279,1092,1139,1606,2122,1669,1201,4899,4821,2933,1186,1404,1170,1498,1108,1233,1342,1139,1420,1965,2387,1435
1,"Participant 110","Inconsistant","Target 4 Raw Latency",1748,1373,3900,1248,1201,2184,1357,1450,1232,1466,1404,1779,1264,2403,1513,2887,1856,1685,1342,1138,1216,1311,1295,1419,1030,1046,1654,1123,1123,1294,1592,1888
1,"Participant 110","Inconsistant","Target 5 Raw Latency",1092,2309,1482,3744,2543,2605,1248,1404,1045,1186,1482,1201,1622,1779,1310,1748,1732,2434,1232,1451,1357,1872,1233,1435,1061,1279,1076,1373,1154,1451,1233,1373
1,"Participant 110","Inconsistant","Target 6 Raw Latency",1201,1435,1903,1404,1560,1435,1794,1372,1092,1654,1295,1014,1123,1373,1404,1233,1341,1295,1794,1388,1357,1825,1045,1529,1170,1124,1373,1357,1545,1420,1310,2418
1,"Participant 110","Inconsistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 110","Inconsistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 110","Inconsistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 110","Inconsistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 110","Inconsistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 110","Inconsistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 110","Inconsistant","Target 1 Accuracy","Correct","Correct","Correct",,,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong",,"Correct","Correct",,"Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct"
1,"Participant 110","Inconsistant","Target 2 Accuracy",,"Correct","Correct",,"Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,,"Correct",,"Correct","Correct",,,"Correct","Correct",,"Correct","Correct",,"Correct"
1,"Participant 110","Inconsistant","Target 3 Accuracy","Correct",,"Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct",
1,"Participant 110","Inconsistant","Target 4 Accuracy","Correct",,"Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 110","Inconsistant","Target 5 Accuracy",,"Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Correct",,"Correct","Correct",,"Correct","Correct"
1,"Participant 110","Inconsistant","Target 6 Accuracy","Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct"
1,"Participant 110","Inconsistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 110","Inconsistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 110","Inconsistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 110","Inconsistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 110","Inconsistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 110","Inconsistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
