1,"Participant 75","Consistant","Target 1 Raw Latency",1684,1778,1030,1201,1466,1295,1732,1966,2387,3183,1279,1326,3026,1700,1279,2324,1638,1826,2013,1607,2621,1419,1341,1841,1170,1155,1155,1373,1591,1575,4103,3447
1,"Participant 75","Consistant","Target 2 Raw Latency",905,1358,1263,1170,1545,1186,1467,1482,2075,2995,3073,905,2121,1216,1981,1170,2699,1451,4009,1482,1420,4946,1076,2356,1311,1482,1513,1498,1310,1279,1263,1373
1,"Participant 75","Consistant","Target 3 Raw Latency",1092,1622,1654,1201,3167,1201,2090,1716,1638,2121,1232,1123,1232,2028,2293,2527,1232,2777,1357,2574,1638,4461,952,1513,1061,1233,2153,1295,1357,1903,1077,5055
1,"Participant 75","Consistant","Target 4 Raw Latency",1170,1935,1154,1389,1154,1170,1357,920,1263,1763,1575,1014,1279,1388,1404,4664,1014,1046,1420,1404,1294,1919,1482,2668,1092,2106,1467,1794,1700,2371,1248,1232
1,"Participant 75","Consistant","Target 5 Raw Latency",764,1373,1716,1466,1310,1357,1466,1700,1919,1295,1061,936,1279,1732,1155,1388,905,1747,1310,1373,1622,1529,2714,1186,1124,1451,1186,2216,1092,1108,2043,1310
1,"Participant 75","Consistant","Target 6 Raw Latency",1357,1591,3182,1138,1888,1934,795,1217,1575,2355,1061,1186,1388,2106,2995,2652,1014,1107,1591,2340,1030,1685,1684,4758,983,1498,1545,1685,936,1670,1450,1154
1,"Participant 75","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 75","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 75","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 75","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 75","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 75","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 75","Consistant","Target 1 Accuracy","Correct",,"Correct",,"Correct",,"Correct","Correct","Correct","Wrong","Correct","Correct","Wrong","Correct",,"Wrong","Correct","Wrong","Correct","Correct","Wrong","Correct",,"Correct","Correct",,"Correct",,"Correct",,"Correct","Correct"
1,"Participant 75","Consistant","Target 2 Accuracy",,"Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct",,,"Correct","Correct","Correct",,"Correct","Correct","Correct",,,"Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct",
1,"Participant 75","Consistant","Target 3 Accuracy","Correct",,"Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Wrong","Correct","Correct","Wrong","Correct","Correct"
1,"Participant 75","Consistant","Target 4 Accuracy","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct",,"Correct","Correct","Correct","Wrong",,"Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct"
1,"Participant 75","Consistant","Target 5 Accuracy",,"Correct","Correct","Correct","Correct","Correct",,"Correct",,,"Correct","Correct",,"Correct","Correct","Correct","Correct",,"Wrong",,"Correct",,,"Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct"
1,"Participant 75","Consistant","Target 6 Accuracy","Correct","Correct","Correct",,,"Correct","Correct","Correct",,,,"Correct","Correct","Correct","Correct",,,"Correct",,"Wrong",,"Correct","Correct",,"Correct","Correct","Correct",,,"Correct","Correct","Correct"
1,"Participant 75","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 75","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 75","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 75","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 75","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 75","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
