1,"Participant 17TF","Consistant","Target 1 Raw Latency",1609,1500,1765,1969,3234,2938,2250,1547,1203,2250,1672,1188,1390,3907,2188,1578,1437,2047,1094,1625,1266,1266,1438,1609,1359,2313,1313,1640,2031,2016,1250,1672
1,"Participant 17TF","Consistant","Target 2 Raw Latency",1375,1578,2094,1703,1219,1750,1437,2750,1500,1610,2266,2203,1281,1547,2407,1625,1094,4188,1360,1500,1422,1688,3328,1469,1094,8343,1922,9937,1703,3031,1750,1219
1,"Participant 17TF","Consistant","Target 3 Raw Latency",1500,1703,1953,1453,1343,4281,1875,2547,1063,3391,2125,1359,1375,1625,2750,1437,1609,1297,1859,1656,1359,1391,1157,1203,1516,1328,1531,3453,1781,1515,1437,1593
1,"Participant 17TF","Consistant","Target 4 Raw Latency",1422,1844,1781,1515,2547,1735,1641,1812,1063,1015,1172,1812,1234,3016,1484,2203,1359,1375,2016,2016,1375,2125,1922,1359,1844,2454,1890,1547,1203,2625,2047,2813
1,"Participant 17TF","Consistant","Target 5 Raw Latency",2453,1281,1500,2500,1312,1453,2718,3922,1391,1375,1578,1234,1359,1750,1437,2578,1391,1125,1281,1844,1813,3078,1469,1859,1094,1390,1359,3187,1578,2860,2359,1266
1,"Participant 17TF","Consistant","Target 6 Raw Latency",1469,1829,1562,1828,1140,2703,1453,2343,1141,1172,2281,1531,1609,1469,2422,1469,1141,1390,1594,2188,2750,1954,1984,1594,1860,1141,1250,1422,3484,1891,1656,1375
1,"Participant 17TF","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 17TF","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 17TF","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 17TF","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 17TF","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 17TF","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 17TF","Consistant","Target 1 Accuracy",,"Correct",,"Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct",,"Correct","Correct","Correct",,"Correct"
1,"Participant 17TF","Consistant","Target 2 Accuracy","Correct",,"Correct","Correct",,"Correct",,"Correct",,"Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Wrong",,"Correct",,"Correct"
1,"Participant 17TF","Consistant","Target 3 Accuracy","Correct","Correct","Correct",,,"Correct","Correct","Wrong","Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct"
1,"Participant 17TF","Consistant","Target 4 Accuracy","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct",,"Wrong","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Wrong"
1,"Participant 17TF","Consistant","Target 5 Accuracy",,,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,,,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,,,"Correct","Correct","Correct",,"Correct","Correct"
1,"Participant 17TF","Consistant","Target 6 Accuracy","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",
1,"Participant 17TF","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 17TF","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 17TF","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 17TF","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 17TF","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 17TF","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
