1,"Participant 3","Consistant","Target 1 Raw Latency",1280,1482,2761,2153,1482,1700,2324,1623,1077,2761,1170,2465,1326,4103,1981,1451,1092,1498,1186,1451,1170,2075,3838,1186,1061,1389,1030,1685,1186,1341,1185,1466
1,"Participant 3","Consistant","Target 2 Raw Latency",1981,1997,1623,1264,1389,3214,1934,3104,1232,1607,1420,1373,1263,1436,1497,3245,1279,1794,1155,1778,1638,2153,2402,1404,1279,2231,1217,1108,1264,1420,1653,1466
1,"Participant 3","Consistant","Target 3 Raw Latency",2792,2168,1826,1825,1341,1794,2184,1544,1342,1826,1170,2231,1311,2215,1591,2043,843,1965,1326,1029,1264,1123,1607,1014,1092,982,2293,1497,1216,1357,1279,1092
1,"Participant 3","Consistant","Target 4 Raw Latency",1794,2481,1435,1669,1872,2309,1529,1373,1170,2215,1357,1373,1045,1264,1358,1045,1295,2871,1997,1311,1638,1794,1233,1996,2324,1435,2200,1248,1498,1326,1201,1326
1,"Participant 3","Consistant","Target 5 Raw Latency",2012,2246,3651,1155,1670,2823,1529,1342,1202,1124,1404,2636,1139,1872,1840,1716,1138,1701,1514,1529,1419,2543,1654,1451,1014,1482,1124,1607,1513,1076,1716,2090
1,"Participant 3","Consistant","Target 6 Raw Latency",1825,3791,2340,1357,2777,1232,1498,2808,1186,1389,1263,1201,1544,1358,2543,1560,1388,1311,1467,1154,1841,2231,2028,4649,1264,1404,968,1513,1123,1794,1779,1201
1,"Participant 3","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 3","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 3","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 3","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 3","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 3","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 3","Consistant","Target 1 Accuracy","Correct",,,,,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct",,,"Correct","Correct","Correct",,,"Correct",,,,,"Correct","Correct","Correct"
1,"Participant 3","Consistant","Target 2 Accuracy",,"Correct","Correct","Correct","Correct",,,"Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Correct",,"Correct",,,"Correct","Correct",,"Correct","Correct","Correct","Correct",,,"Correct"
1,"Participant 3","Consistant","Target 3 Accuracy","Correct","Correct","Correct",,"Correct","Correct","Correct",,,"Correct","Correct","Wrong","Correct",,,"Correct",,,"Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",
1,"Participant 3","Consistant","Target 4 Accuracy",,"Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct",,"Correct","Correct","Wrong",,,"Correct","Correct","Correct",,"Correct","Correct","Correct"
1,"Participant 3","Consistant","Target 5 Accuracy",,"Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct",,,"Correct"
1,"Participant 3","Consistant","Target 6 Accuracy","Correct","Wrong",,"Correct","Correct","Wrong","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,,"Correct",,"Correct","Wrong","Correct",,"Correct","Correct","Correct","Correct",
1,"Participant 3","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 3","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 3","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 3","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 3","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 3","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
